order_book_id,datetime,last_quantity,side,last_price,transaction_cost
600171.XSHG,2020-08-18,4800.0,SELL,18.87,0
600195.XSHG,2020-08-18,16900.0,BUY,19.43,0
600201.XSHG,2020-08-18,33400.0,BUY,28.63,0
600216.XSHG,2020-08-18,7600.0,SELL,18.39,0
600256.XSHG,2020-08-18,35900.0,SELL,2.96,0
600258.XSHG,2020-08-18,14500.0,BUY,19.76,0
600259.XSHG,2020-08-18,2700.0,SELL,34.97,0
600260.XSHG,2020-08-18,6900.0,SELL,14.16,0
600266.XSHG,2020-08-18,4000.0,SELL,5.7,0
600273.XSHG,2020-08-18,3800.0,BUY,10.17,0
600277.XSHG,2020-08-18,10700.0,SELL,3.74,0
600282.XSHG,2020-08-18,14300.0,SELL,3.32,0
600291.XSHG,2020-08-18,200.0,BUY,9.86,0
600298.XSHG,2020-08-18,15000.0,BUY,68.24,0
600307.XSHG,2020-08-18,28600.0,SELL,1.7,0
600312.XSHG,2020-08-18,3600.0,SELL,8.16,0
600315.XSHG,2020-08-18,1500.0,SELL,42.05,0
600316.XSHG,2020-08-18,3700.0,SELL,39.2,0
600325.XSHG,2020-08-18,22800.0,SELL,7.34,0
600329.XSHG,2020-08-18,2300.0,SELL,18.21,0
600335.XSHG,2020-08-18,17300.0,BUY,5.3,0
600339.XSHG,2020-08-18,16400.0,SELL,2.92,0
600348.XSHG,2020-08-18,11400.0,SELL,4.97,0
600350.XSHG,2020-08-18,2200.0,BUY,6.52,0
600373.XSHG,2020-08-18,5900.0,SELL,13.04,0
600376.XSHG,2020-08-18,12800.0,SELL,6.87,0
600380.XSHG,2020-08-18,8200.0,SELL,18.95,0
600388.XSHG,2020-08-18,9500.0,SELL,9.85,0
600392.XSHG,2020-08-18,13200.0,SELL,8.93,0
600409.XSHG,2020-08-18,4800.0,SELL,5.64,0
600410.XSHG,2020-08-18,9000.0,SELL,14.21,0
600415.XSHG,2020-08-18,15200.0,SELL,6.73,0
600418.XSHG,2020-08-18,13000.0,SELL,9.9,0
600426.XSHG,2020-08-18,13700.0,SELL,25.97,0
600428.XSHG,2020-08-18,7600.0,SELL,3.53,0
600435.XSHG,2020-08-18,15800.0,SELL,10.85,0
600446.XSHG,2020-08-18,5700.0,SELL,20.34,0
600460.XSHG,2020-08-18,27200.0,BUY,18.65,0
600466.XSHG,2020-08-18,16300.0,SELL,5.49,0
600478.XSHG,2020-08-18,5700.0,SELL,4.26,0
600486.XSHG,2020-08-18,6000.0,BUY,96.04,0
600497.XSHG,2020-08-18,30500.0,SELL,4.34,0
600500.XSHG,2020-08-18,12900.0,SELL,6.04,0
600507.XSHG,2020-08-18,9900.0,SELL,5.84,0
600511.XSHG,2020-08-18,2100.0,SELL,46.53,0
600515.XSHG,2020-08-18,20800.0,SELL,8.1,0
